Time [s],Reb PC,Env PC
22.580562000,1,1
22.580666000,1,0
22.580770000,1,1
22.580978000,1,0
22.581082000,1,1
22.581186000,1,0
22.581292000,1,1
22.581396000,1,0
22.581500000,1,1
22.581604000,1,0
22.581812000,1,1
22.582022000,1,0
22.582126000,1,1
22.582230000,1,0
22.582440000,1,1
22.582544000,1,0
22.582752000,1,1
22.583066000,1,0
22.583170000,1,1
22.583274000,1,0
22.583586000,1,1
22.583796000,1,0
22.583900000,1,1
22.584004000,1,0
22.584212000,1,1
22.584316000,1,0
22.584628000,1,1
22.584732000,1,0
22.584838000,1,1
22.585150000,1,0
22.585254000,1,1
22.585358000,1,0
22.585462000,1,1
22.585566000,1,0
22.585774000,1,1
22.585878000,1,0
22.585984000,1,1
22.586192000,1,0
22.586296000,1,1
22.586400000,1,0
22.586608000,1,1
22.586712000,1,0
22.586920000,1,1
22.587232000,1,0
22.587336000,1,1
22.587440000,1,0
22.587544000,1,1
22.587650000,1,0
22.588066000,1,1
22.588274000,1,0
22.588378000,1,1
22.588482000,1,0
22.588690000,1,1
22.588794000,1,0
22.589004000,1,1
22.589316000,1,0
22.589420000,1,1
22.589524000,1,0
22.590150000,1,1
22.590254000,1,0
22.590462000,1,1
22.590566000,1,0
22.590670000,1,1
22.590774000,1,0
22.590878000,1,1
22.590982000,1,0
22.591190000,1,1
22.591398000,1,0
22.591502000,1,1
22.591606000,1,0
22.592024000,1,1
22.592440000,1,0
22.592544000,1,1
22.592648000,1,0
22.592752000,1,1
22.592962000,1,0
22.593274000,1,1
22.593482000,1,0
22.593586000,1,1
22.594984000,0,1
22.595088000,1,1
22.595192000,0,1
22.595298000,1,1
22.595504000,0,1
22.595922000,1,1
22.707936000,1,0
22.708040000,1,1
22.708144000,1,0
22.708248000,1,1
22.708456000,1,0
22.708872000,1,1
22.708976000,1,0
22.709186000,1,1
22.709394000,1,0
22.709706000,1,1
22.709810000,1,0
22.709916000,1,1
22.742598000,0,1
22.743536000,1,1
22.743744000,0,1
22.743954000,1,1
22.744056000,0,1
22.744578000,1,1
22.749910000,1,0
22.750016000,1,1
22.750120000,1,0
22.750224000,1,1
22.750432000,1,0
22.750848000,1,1
22.750952000,1,0
22.751160000,1,1
22.751370000,1,0
22.751682000,1,1
22.751786000,1,0
22.751890000,1,1
22.784580000,0,1
22.785518000,1,1
22.785726000,0,1
22.785934000,1,1
22.786038000,0,1
22.786560000,1,1
22.797816000,1,0
22.797920000,1,1
22.798024000,1,0
22.798128000,1,1
22.798338000,1,0
22.798754000,1,1
22.798858000,1,0
22.799066000,1,1
22.799274000,1,0
22.799588000,1,1
22.799692000,1,0
22.799796000,1,1
22.832500000,0,1
22.833438000,1,1
22.833646000,0,1
22.833750000,1,1
22.833958000,0,1
22.834480000,1,1
22.845928000,1,0
22.846032000,1,1
22.846136000,1,0
22.846240000,1,1
22.846448000,1,0
22.846866000,1,1
22.846970000,1,0
22.847178000,1,1
22.847386000,1,0
22.847698000,1,1
22.847802000,1,0
22.847906000,1,1
22.880628000,0,1
22.881566000,1,1
22.881774000,0,1
22.881984000,1,1
22.882086000,0,1
22.882608000,1,1
22.893730000,1,0
22.893834000,1,1
22.893938000,1,0
22.894042000,1,1
22.894252000,1,0
22.894668000,1,1
22.894772000,1,0
22.894982000,1,1
22.895190000,1,0
22.895502000,1,1
22.895606000,1,0
22.895710000,1,1
22.928444000,0,1
22.929382000,1,1
22.929590000,0,1
22.929800000,1,1
22.929902000,0,1
22.930424000,1,1
22.941724000,1,0
22.941828000,1,1
22.941932000,1,0
22.942036000,1,1
22.942244000,1,0
22.942662000,1,1
22.942766000,1,0
22.942974000,1,1
22.943182000,1,0
22.943496000,1,1
22.943600000,1,0
22.943704000,1,1
22.976468000,0,1
22.977406000,1,1
22.977614000,0,1
22.977824000,1,1
22.977926000,0,1
22.978448000,1,1
22.989724000,1,0
22.989828000,1,1
22.989932000,1,0
22.990036000,1,1
22.990244000,1,0
22.990662000,1,1
22.990766000,1,0
22.990974000,1,1
22.991182000,1,0
22.991494000,1,1
22.991598000,1,0
22.991702000,1,1
